Sample name:	D5GR2_140p0uW_10e9A_405nm_P60V_longscan
Scan type:	Left -> Right
Direction:	X
Integration time (s):	0.500
Accumulations:	3
Line recovery time (s):	1.000
-------------------------------------------------------------------
Start X (um):	22494.942607
Start Y (um):	11649.960223
End X (um):	22744.971019
End Y (um):	11969.996591
X pixels:	100
Y pixels:	100
-------------------------------------------------------------------
Lock-in settings
Active:	1
Sensitivity:	100 mV [nA]
Time constant	100 ms
Input range:	300 mV
Amplitude (V):	0.000
Trigger:	External
Internal frequency (Hz):	200.000
Actual frequency (Hz):	319.210022
-------------------------------------------------------------------
Sourcemeter settings
Active:	1
Read:	1
Voltage (V):	6.000E+1
Compliance level (A):	1.000E-6
-------------------------------------------------------------------
Axis Calibration (px/um):	17.598
X (px)
132074	132030	131985	131941	131896	131852	131807	131763	131718	131674	131630	131585	131541	131496	131452	131407	131363	131318	131274	131230	131185	131141	131096	131052	131007	130963	130918	130874	130830	130785	130741	130696	130652	130607	130563	130518	130474	130430	130385	130341	130296	130252	130207	130163	130118	130074	130030	129985	129941	129896	129852	129807	129763	129718	129674	129630	129585	129541	129496	129452	129407	129363	129318	129274	129230	129185	129141	129096	129052	129007	128963	128918	128874	128830	128785	128741	128696	128652	128607	128563	128518	128474	128430	128385	128341	128296	128252	128207	128163	128118	128074	128030	127985	127941	127896	127852	127807	127763	127718	127674

Y (px)
205016	205073	205130	205187	205244	205300	205357	205414	205471	205528	205585	205642	205699	205756	205812	205869	205926	205983	206040	206097	206154	206211	206268	206324	206381	206438	206495	206552	206609	206666	206723	206780	206836	206893	206950	207007	207064	207121	207178	207235	207292	207348	207405	207462	207519	207576	207633	207690	207747	207804	207860	207917	207974	208031	208088	208145	208202	208259	208316	208372	208429	208486	208543	208600	208657	208714	208771	208828	208884	208941	208998	209055	209112	209169	209226	209283	209340	209396	209453	209510	209567	209624	209681	209738	209795	209852	209908	209965	210022	210079	210136	210193	210250	210307	210364	210420	210477	210534	210591	210648

-------------------------------------------------------------------
9.15432E+0	1.10578E+1	8.64904E+0	1.11345E+1	8.75754E+0	9.20093E+0	9.33708E+0	8.74433E+0	8.46559E+0	8.28297E+0	9.84807E+0	8.23721E+0	8.76711E+0	4.61762E+0	9.78536E+0	7.68804E+0	9.58490E+0	7.92150E+0	7.80849E+0	1.06763E+1	8.13994E+0	7.89918E+0	9.26777E+0	9.68476E+0	6.51612E+0	9.52138E+0	8.77357E+0	9.96819E+0	1.00207E+1	9.61142E+0	1.23956E+1	7.56002E+0	4.29165E+0	7.30694E+0	6.98358E+0	7.67006E+0	7.13824E+0	9.33637E+0	5.51797E+0	7.00762E+0	8.50572E+0	7.60968E+0	8.21438E+0	7.44735E+0	7.08025E+0	7.36585E+0	8.12790E+0	8.91775E+0	8.57551E+0	9.21345E+0	6.74562E+0	5.66048E+0	5.18718E+0	4.98675E+0	5.58743E+0	4.33635E+0	3.24546E+0	5.29229E+0	4.51772E+0	4.52747E+0	5.35064E+0	5.78813E+0	5.90783E+0	5.64755E+0	5.25372E+0	4.41229E+0	3.50910E+0	3.07125E+0	2.45251E+0	1.06155E+0	-1.91208E-1	7.90281E-1	1.53639E+0	2.47786E-1	8.32503E-2	1.50232E+0	-2.52023E-2	-4.31283E-1	1.08951E+0	1.54878E+0	3.79475E-1	-5.90617E-1	-3.32389E-1	1.80041E+0	1.50691E+0	-9.61710E-1	1.68341E+0	1.36155E+0	-5.59679E-1	6.12211E-1	1.96174E+0	-7.48753E-1	6.38817E-1	7.69285E-1	4.07584E-1	-1.10813E+0	5.05855E+0	5.41935E-1	-2.07388E-1	1.25821E+0
1.04934E+1	1.02576E+1	2.44455E+0	9.30531E+0	2.43111E+0	6.03563E+0	8.07298E+0	5.84830E+0	9.48273E-1	8.16858E+0	8.32665E+0	1.09631E+1	8.04744E+0	4.89622E+0	7.35457E+0	1.30179E+1	1.64746E+1	7.61806E+0	9.69298E+0	7.19390E+0	7.16430E+0	1.15897E+1	8.05947E+0	9.41592E+0	1.00316E+1	7.41050E+0	4.10188E+0	1.09655E+1	1.28809E+1	9.19378E+0	5.11289E+0	8.53913E+0	1.20967E+1	1.09728E+1	1.00005E+1	1.01762E+1	7.70140E+0	8.73599E+0	7.87035E+0	8.44646E+0	7.91076E+0	8.13986E+0	7.84309E+0	8.84325E+0	7.78598E+0	8.56472E+0	8.42004E+0	8.11387E+0	8.86961E+0	7.83047E+0	7.34008E+0	6.36599E+0	5.56734E+0	5.33140E+0	4.68338E+0	4.97796E+0	4.36908E+0	4.79611E+0	4.85139E+0	5.28786E+0	5.34393E+0	5.94567E+0	5.35457E+0	5.78870E+0	5.31016E+0	4.95512E+0	4.81601E+0	2.55458E+0	8.93899E-1	1.30574E+0	6.55968E-1	3.37417E-2	9.93414E-1	4.22041E-1	4.17585E-1	7.89125E-1	2.43326E-3	7.27493E-1	1.25008E+0	1.41330E-1	6.13105E-1	1.13112E+0	-3.50887E-1	1.54604E-1	1.52305E+0	1.02580E-1	9.80418E-1	-4.91581E-1	1.65929E+0	-3.74220E-1	1.64447E+0	-1.10416E-1	3.21002E-2	8.61908E-1	3.53968E-1	-1.85751E-1	5.11558E-1	9.21956E-2	9.99915E-1	-2.94028E-1
1.18255E+1	9.58709E+0	1.15753E+1	8.88867E+0	8.88395E+0	7.73345E+0	8.91444E+0	7.40284E+0	9.68433E+0	7.72712E+0	1.03357E+1	7.76455E+0	9.96815E+0	8.20295E+0	8.31946E+0	8.72130E+0	8.44568E+0	9.00346E+0	9.02801E+0	8.63646E+0	8.75814E+0	7.80811E+0	9.60377E+0	7.68144E+0	8.57772E+0	8.70342E+0	8.78695E+0	7.89638E+0	8.08778E+0	8.83919E+0	9.32733E+0	8.97252E+0	9.40123E+0	8.81848E+0	8.96829E+0	8.87973E+0	8.82141E+0	8.68574E+0	9.42480E+0	8.87653E+0	7.93118E+0	7.46814E+0	8.39478E+0	8.68016E+0	7.87801E+0	7.84285E+0	8.98221E+0	8.89826E+0	8.85000E+0	8.20299E+0	6.86740E+0	6.07908E+0	5.67779E+0	5.63801E+0	5.45777E+0	5.18300E+0	5.25346E+0	5.20432E+0	5.12758E+0	5.86034E+0	6.09356E+0	5.78409E+0	5.88378E+0	5.36080E+0	5.23475E+0	4.19991E+0	3.63362E+0	1.29450E+0	5.97687E-1	-2.65320E-1	7.78909E-1	1.48229E+0	6.48811E-1	-2.14552E-1	-1.19111E-1	1.37119E+0	8.32628E-1	-4.24538E-1	1.19501E+0	5.90112E-1	-3.27294E-1	1.59160E+0	4.20342E+0	1.39946E+0	2.03448E+0	-2.00231E+0	8.81023E-1	-1.01958E+0	4.90766E+0	-9.89508E-1	-3.96730E+0	5.71348E+0	-3.02913E-1	-3.14357E+0	1.94888E+0	6.44895E+0	-4.51951E-1	-2.21289E+0	-3.17075E+0	5.63514E-1
8.29585E+0	6.69152E+0	5.85532E+0	1.45505E+1	6.57974E+0	6.32369E+0	6.84400E+0	7.18769E+0	1.25969E+1	1.18018E+0	2.79263E+0	7.60732E+0	1.02302E+1	9.64933E+0	9.07887E+0	6.57915E+0	3.31762E+0	7.39964E+0	9.30338E+0	8.32351E+0	8.43883E+0	9.31177E+0	7.86581E+0	9.69167E+0	7.69899E+0	8.74561E+0	8.12574E+0	7.79905E+0	8.59998E+0	7.96983E+0	8.28186E+0	8.11793E+0	9.03912E+0	7.90778E+0	7.26951E+0	7.22658E+0	8.23938E+0	9.12900E+0	8.37545E+0	7.51888E+0	7.88074E+0	8.91366E+0	8.50274E+0	7.93136E+0	8.21356E+0	8.87995E+0	8.17259E+0	8.93859E+0	8.37171E+0	8.85084E+0	7.85332E+0	7.22375E+0	6.75491E+0	6.26291E+0	5.72499E+0	5.99767E+0	5.84220E+0	5.94976E+0	6.38724E+0	6.51534E+0	6.32837E+0	6.73026E+0	6.46342E+0	5.86118E+0	5.72145E+0	4.83622E+0	4.40030E+0	1.59643E+0	1.30137E+0	6.95507E-2	8.77798E-1	-1.52400E-1	9.63138E-1	1.23326E-1	9.26361E-1	-1.00380E-1	8.86215E-1	-7.64480E-2	1.01083E+0	-6.35532E-2	8.80487E-1	-2.62342E-2	1.08667E+0	-7.13003E-1	1.39168E+0	1.33852E-1	6.27241E-1	1.14371E+0	-7.76843E-1	1.60874E+0	-5.94369E-2	4.59408E-1	1.41198E+0	7.61135E-1	-5.57037E-1	-2.36055E-1	6.46904E-1	-4.39644E-1	5.35760E-2	1.38967E+0
