Sample name:	D5GR2_26p0uW_10e9A_355nm_P60V_longscan
Scan type:	Left -> Right
Direction:	X
Integration time (s):	0.500
Accumulations:	3
Line recovery time (s):	1.000
-------------------------------------------------------------------
Start X (um):	22524.946017
Start Y (um):	11629.957950
End X (um):	22714.967610
End Y (um):	11959.995454
X pixels:	100
Y pixels:	100
-------------------------------------------------------------------
Lock-in settings
Active:	1
Sensitivity:	100 mV [nA]
Time constant	100 ms
Input range:	300 mV
Amplitude (V):	0.000
Trigger:	External
Internal frequency (Hz):	200.000
Actual frequency (Hz):	1002.766052
-------------------------------------------------------------------
Sourcemeter settings
Active:	1
Read:	0
Voltage (V):	6.000E+1
Compliance level (A):	1.000E-6
-------------------------------------------------------------------
Axis Calibration (px/um):	17.598
X (px)
131546	131512	131478	131445	131411	131377	131343	131310	131276	131242	131208	131174	131141	131107	131073	131039	131006	130972	130938	130904	130870	130837	130803	130769	130735	130702	130668	130634	130600	130566	130533	130499	130465	130431	130398	130364	130330	130296	130262	130229	130195	130161	130127	130094	130060	130026	129992	129958	129925	129891	129857	129823	129790	129756	129722	129688	129654	129621	129587	129553	129519	129486	129452	129418	129384	129350	129317	129283	129249	129215	129182	129148	129114	129080	129046	129013	128979	128945	128911	128878	128844	128810	128776	128742	128709	128675	128641	128607	128574	128540	128506	128472	128438	128405	128371	128337	128303	128270	128236	128202

Y (px)
204664	204723	204781	204840	204899	204957	205016	205075	205133	205192	205251	205309	205368	205427	205485	205544	205603	205661	205720	205779	205837	205896	205955	206013	206072	206131	206189	206248	206307	206365	206424	206483	206541	206600	206659	206717	206776	206835	206893	206952	207011	207069	207128	207187	207245	207304	207363	207421	207480	207539	207597	207656	207715	207773	207832	207891	207949	208008	208067	208125	208184	208243	208301	208360	208419	208477	208536	208595	208653	208712	208771	208829	208888	208947	209005	209064	209123	209181	209240	209299	209357	209416	209475	209533	209592	209651	209709	209768	209827	209885	209944	210003	210061	210120	210179	210237	210296	210355	210413	210472

-------------------------------------------------------------------
2.26111E-3	2.19122E-3	2.17902E-3	2.19294E-3	2.22162E-3	2.24569E-3	2.25396E-3	2.29320E-3	2.31519E-3	2.37038E-3	2.39053E-3	2.39407E-3	2.43212E-3	2.46475E-3	2.51274E-3	2.57865E-3	2.58515E-3	2.62804E-3	2.67047E-3	2.72248E-3	2.77327E-3	2.83191E-3	2.88796E-3	2.94066E-3	3.02421E-3	3.08491E-3	3.14424E-3	3.22435E-3	3.26910E-3	3.35300E-3	3.45972E-3	3.52577E-3	3.58014E-3	3.67595E-3	3.74591E-3	3.82094E-3	3.87674E-3	3.95096E-3	4.02669E-3	4.10447E-3	4.14787E-3	4.18702E-3	4.24743E-3	4.28451E-3	4.30858E-3	4.28425E-3	4.32762E-3	4.31554E-3	4.33005E-3	4.28876E-3	4.27368E-3	4.26020E-3	4.23662E-3	4.21304E-3	4.17226E-3	4.09501E-3	4.03032E-3	3.98314E-3	3.94957E-3	3.85685E-3	3.78672E-3	3.68429E-3	3.64621E-3	3.59642E-3	3.49473E-3	3.45703E-3	3.38590E-3	3.30243E-3	3.24749E-3	3.17060E-3	3.09440E-3	3.04517E-3	2.94285E-3	2.92341E-3	2.82530E-3	2.78143E-3	2.69563E-3	2.62622E-3	2.57773E-3	2.53721E-3	2.47500E-3	2.42616E-3	2.35497E-3	2.29554E-3	2.30323E-3	2.22515E-3	2.17366E-3	2.13316E-3	2.12265E-3	2.08028E-3	2.01323E-3	2.01875E-3	1.97281E-3	1.92826E-3	1.89428E-3	1.89426E-3	1.84346E-3	1.83701E-3	1.79682E-3	1.75415E-3
2.19885E-3	2.20348E-3	2.22788E-3	2.24169E-3	2.27372E-3	2.28041E-3	2.29652E-3	2.32674E-3	2.39661E-3	2.39698E-3	2.43784E-3	2.45961E-3	2.45678E-3	2.51879E-3	2.56907E-3	2.58493E-3	2.65657E-3	2.70586E-3	2.73299E-3	2.79856E-3	2.85481E-3	2.92621E-3	2.97550E-3	3.00826E-3	3.11436E-3	3.13949E-3	3.23730E-3	3.27000E-3	3.38641E-3	3.45747E-3	3.50688E-3	3.62528E-3	3.68067E-3	3.79411E-3	3.86317E-3	3.95309E-3	4.06105E-3	4.12909E-3	4.17938E-3	4.30573E-3	4.36218E-3	4.40227E-3	4.48327E-3	4.49068E-3	4.53236E-3	4.55209E-3	4.53556E-3	4.53323E-3	4.54402E-3	4.52465E-3	4.48235E-3	4.49783E-3	4.48444E-3	4.43900E-3	4.36759E-3	4.30061E-3	4.22474E-3	4.17461E-3	4.10211E-3	4.02397E-3	3.94876E-3	3.84719E-3	3.77424E-3	3.68826E-3	3.63542E-3	3.54248E-3	3.50739E-3	3.41669E-3	3.36027E-3	3.26526E-3	3.18840E-3	3.09989E-3	3.01506E-3	2.95309E-3	2.88812E-3	2.81588E-3	2.74881E-3	2.68669E-3	2.59882E-3	2.55128E-3	2.49054E-3	2.43387E-3	2.37066E-3	2.34817E-3	2.31225E-3	2.26079E-3	2.20797E-3	2.16384E-3	2.12471E-3	2.10044E-3	2.03843E-3	1.99972E-3	1.96870E-3	1.93771E-3	1.92144E-3	1.91968E-3	1.82337E-3	1.82584E-3	1.81484E-3	1.79204E-3
2.31977E-3	2.29412E-3	2.25789E-3	2.29613E-3	2.29946E-3	2.30798E-3	2.33871E-3	2.36104E-3	2.39455E-3	2.42730E-3	2.46054E-3	2.49366E-3	2.52810E-3	2.57368E-3	2.61658E-3	2.66746E-3	2.70146E-3	2.76026E-3	2.81594E-3	2.87750E-3	2.93998E-3	2.99057E-3	3.04232E-3	3.11002E-3	3.18825E-3	3.27676E-3	3.34540E-3	3.41266E-3	3.51505E-3	3.61734E-3	3.72368E-3	3.82511E-3	3.99333E-3	4.06855E-3	4.11536E-3	4.22581E-3	4.35121E-3	4.38842E-3	4.44963E-3	4.55080E-3	4.65831E-3	4.69671E-3	4.75074E-3	4.80614E-3	4.82798E-3	4.85062E-3	4.86319E-3	4.85842E-3	4.85544E-3	4.86125E-3	4.83838E-3	4.81388E-3	4.77120E-3	4.70475E-3	4.64925E-3	4.52989E-3	4.47707E-3	4.39086E-3	4.31371E-3	4.20810E-3	4.14290E-3	4.03825E-3	3.95484E-3	3.89236E-3	3.82445E-3	3.71752E-3	3.64766E-3	3.55479E-3	3.44735E-3	3.40998E-3	3.26203E-3	3.16908E-3	3.08755E-3	3.01346E-3	2.96577E-3	2.88469E-3	2.79225E-3	2.73610E-3	2.68828E-3	2.62499E-3	2.56771E-3	2.48509E-3	2.45793E-3	2.39706E-3	2.34528E-3	2.30549E-3	2.24303E-3	2.20052E-3	2.17048E-3	2.12482E-3	2.08702E-3	2.06531E-3	2.04395E-3	2.01112E-3	1.94743E-3	1.92712E-3	1.90178E-3	1.88299E-3	1.84432E-3	1.83033E-3
2.32484E-3	2.30551E-3	2.30498E-3	2.32420E-3	2.34518E-3	2.34446E-3	2.36197E-3	2.38440E-3	2.42953E-3	2.46892E-3	2.50280E-3	2.55095E-3	2.59434E-3	2.61660E-3	2.65923E-3	2.68940E-3	2.75398E-3	2.80857E-3	2.87069E-3	2.93949E-3	2.99275E-3	3.08782E-3	3.16110E-3	3.24634E-3	3.30128E-3	3.42889E-3	3.45074E-3	3.54944E-3	3.63588E-3	3.74320E-3	3.86421E-3	3.95321E-3	4.06933E-3	4.17939E-3	4.29927E-3	4.44418E-3	4.55911E-3	4.63592E-3	4.72254E-3	4.83569E-3	4.95370E-3	5.01320E-3	5.09547E-3	5.14026E-3	5.16719E-3	5.14136E-3	5.16718E-3	5.15574E-3	5.14825E-3	5.15610E-3	5.11027E-3	5.08856E-3	5.00176E-3	4.96693E-3	4.90322E-3	4.80823E-3	4.71436E-3	4.61823E-3	4.54661E-3	4.56286E-3	4.34990E-3	4.26288E-3	4.14453E-3	4.04673E-3	3.94989E-3	3.85839E-3	3.76468E-3	3.65556E-3	3.56148E-3	3.47044E-3	3.37878E-3	3.25975E-3	3.18456E-3	3.09946E-3	3.03191E-3	2.93467E-3	2.86729E-3	2.82790E-3	2.72035E-3	2.68966E-3	2.60712E-3	2.55465E-3	2.48804E-3	2.41646E-3	2.37709E-3	2.33662E-3	2.30140E-3	2.25839E-3	2.19696E-3	2.17522E-3	2.12497E-3	2.07380E-3	2.04564E-3	2.03143E-3	1.98683E-3	1.96345E-3	1.91297E-3	1.88824E-3	1.87173E-3	1.84570E-3
